date,product,region,quantity_sold,revenue
2024-01-01,A,East,30,3000
2024-01-04,B,South,126,18900
2024-01-04,C,South,28,2240
2024-01-07,C,North,132,10560
2024-01-07,C,East,190,15200
2024-01-12,A,North,168,16800
2024-01-13,A,North,112,11200
2024-01-14,C,West,166,13280
2024-01-15,C,West,166,13280
2024-01-17,C,West,111,8880
2024-01-26,C,East,25,2000
2024-01-28,A,West,152,15200
2024-02-04,A,East,76,7600
2024-02-07,A,North,126,12600
2024-02-10,A,West,149,14900
2024-02-13,C,North,153,12240
2024-02-13,C,West,131,10480
2024-02-14,C,North,172,13760
2024-02-16,C,North,51,4080
2024-02-18,B,South,191,28650
2024-02-23,C,North,128,10240
2024-02-24,C,West,141,11280
2024-03-02,C,West,58,4640
2024-03-03,A,East,153,15300
2024-03-04,C,South,96,7680
2024-03-05,A,West,125,12500
2024-03-16,C,East,196,15680
2024-03-16,A,West,73,7300
2024-03-17,A,South,116,11600
2024-03-18,B,West,46,6900
2024-03-19,C,South,163,13040
2024-03-21,A,West,168,16800
2024-03-22,A,East,91,9100
2024-03-23,B,South,26,3900
2024-03-25,C,North,48,3840
2024-03-27,A,North,94,9400
2024-03-29,C,South,102,8160
2024-04-04,A,West,113,11300
2024-04-08,A,West,50,5000
2024-04-09,A,West,148,14800
2024-04-09,A,South,35,3500
2024-04-11,A,West,88,8800
2024-04-13,C,North,50,4000
2024-04-13,B,South,147,22050
2024-04-16,C,West,132,10560
2024-04-17,C,West,76,6080
2024-04-18,C,East,131,10480
2024-04-19,C,East,81,6480
2024-04-23,C,South,113,9040
2024-04-23,A,South,105,10500
2024-04-24,C,West,155,12400
2024-04-29,A,South,197,19700
2024-05-01,C,North,56,4480
2024-05-01,B,South,170,25500
2024-05-02,A,South,116,11600
2024-05-03,C,South,54,4320
2024-05-06,C,East,155,12400
2024-05-07,B,East,157,23550
2024-05-10,C,West,62,4960
2024-05-12,B,South,150,22500
2024-05-15,B,East,72,10800
2024-05-16,B,North,78,11700
2024-05-21,B,West,165,24750
2024-05-24,A,East,117,11700
2024-05-25,A,South,86,8600
2024-05-25,C,West,156,12480
2024-05-27,B,South,22,3300
2024-05-29,C,North,33,2640
2024-05-30,B,South,164,24600
2024-05-30,C,West,72,5760
2024-06-03,C,East,143,11440
2024-06-04,A,North,63,6300
2024-06-07,B,South,57,8550
2024-06-09,C,South,91,7280
2024-06-10,A,West,60,6000
2024-06-12,A,South,74,7400
2024-06-13,A,West,45,4500
2024-06-13,C,West,34,2720
2024-06-14,C,West,49,3920
2024-06-17,B,East,24,3600
2024-06-19,C,South,43,3440
2024-06-21,B,South,44,6600
2024-06-21,C,East,23,1840
2024-06-22,B,North,78,11700
2024-06-23,A,East,113,11300
2024-06-24,A,North,101,10100
2024-06-25,B,North,82,12300
2024-06-25,B,West,180,27000
2024-07-03,C,North,61,4880
2024-07-07,C,West,173,13840
2024-07-10,C,East,74,5920
2024-07-12,C,North,189,15120
2024-07-17,B,West,167,25050
2024-07-19,A,West,70,7000
2024-07-24,C,North,164,13120
2024-07-25,A,East,166,16600
2024-07-25,A,West,189,18900
2024-07-26,C,East,148,11840
2024-07-29,C,East,129,10320
2024-07-29,C,East,93,7440
2024-08-03,B,North,187,28050
2024-08-14,A,West,73,7300
2024-08-17,B,West,188,28200
2024-08-17,C,West,31,2480
2024-08-19,A,East,154,15400
2024-08-20,A,North,22,2200
2024-08-29,B,South,113,16950
2024-08-29,C,North,33,2640
2024-09-01,A,South,152,15200
2024-09-11,B,South,49,7350
2024-09-11,B,East,105,15750
2024-09-12,B,South,175,26250
2024-09-17,A,West,131,13100
2024-09-19,C,North,88,7040
2024-09-22,A,West,120,12000
2024-09-22,A,West,96,9600
2024-09-24,A,North,147,14700
2024-09-26,A,North,144,14400
2024-09-28,A,West,58,5800
2024-10-01,B,West,84,12600
2024-10-02,B,North,58,8700
2024-10-04,C,South,74,5920
2024-10-08,C,South,152,12160
2024-10-09,C,West,100,8000
2024-10-10,A,North,187,18700
2024-10-10,A,West,151,15100
2024-10-14,C,East,47,3760
2024-10-18,C,West,70,5600
2024-10-20,A,North,146,14600
2024-10-21,A,North,76,7600
2024-10-21,B,North,127,19050
2024-10-21,A,West,123,12300
2024-10-26,B,North,37,5550
2024-10-26,B,South,24,3600
2024-10-26,A,North,49,4900
2024-10-27,B,East,48,7200
2024-11-09,A,West,168,16800
2024-11-09,C,West,64,5120
2024-11-10,A,South,149,14900
2024-11-10,A,South,176,17600
2024-11-14,C,South,134,10720
2024-11-16,A,South,184,18400
2024-11-19,B,South,78,11700
2024-11-20,A,West,102,10200
2024-11-22,B,South,189,28350
2024-11-24,C,South,27,2160
2024-11-27,B,North,87,13050
2024-11-28,C,East,105,8400
2024-12-01,C,East,69,5520
2024-12-02,C,North,69,5520
2024-12-06,A,East,183,18300
2024-12-06,C,South,129,10320
2024-12-12,B,West,134,20100
2024-12-14,B,West,31,4650
2024-12-15,B,East,86,12900
2024-12-17,C,South,195,15600
2024-12-19,A,South,45,4500
2024-12-23,B,East,85,12750
2024-12-24,A,East,151,15100
2024-12-25,A,West,54,5400
2024-12-26,B,West,155,23250
2024-12-28,B,West,66,9900
2024-12-29,C,South,125,10000
2024-12-29,B,South,136,20400
2024-12-30,B,West,132,19800
2025-01-02,C,East,127,10160
2025-01-02,C,South,165,13200
2025-01-04,A,South,56,5600
2025-01-05,C,South,185,14800
2025-01-06,B,South,72,10800
2025-01-07,A,West,173,17300
2025-01-08,B,East,83,12450
2025-01-16,C,West,67,5360
2025-01-22,C,North,113,9040
2025-01-24,A,East,190,19000
2025-01-25,A,East,69,6900
2025-01-27,C,West,37,2960
2025-01-27,A,South,163,16300
2025-01-28,A,West,96,9600
2025-01-28,A,North,158,15800
2025-01-29,C,North,191,15280
2025-01-29,B,South,56,8400
2025-01-31,C,East,69,5520
2025-02-01,A,East,128,12800
2025-02-02,B,East,54,8100
2025-02-04,C,South,104,8320
2025-02-05,B,West,122,18300
2025-02-05,A,West,55,5500
2025-02-10,B,East,143,21450
2025-02-15,B,North,174,26100
2025-02-15,B,North,103,15450
2025-02-17,C,North,143,11440
2025-02-17,B,West,76,11400
2025-02-18,A,East,162,16200
2025-02-27,A,West,188,18800
2025-02-28,B,East,47,7050
2025-03-01,B,West,193,28950
2025-03-01,B,South,68,10200
2025-03-01,A,West,126,12600
2025-03-03,C,South,36,2880
2025-03-07,A,South,154,15400
2025-03-10,A,South,26,2600
2025-03-13,A,West,84,8400
2025-03-13,B,South,40,6000
2025-03-14,A,East,34,3400
2025-03-14,A,East,73,7300
2025-03-15,A,North,198,19800
2025-03-19,A,North,171,17100
2025-03-25,C,South,74,5920
2025-03-28,C,North,128,10240
2025-03-30,C,West,25,2000
2025-04-01,B,South,131,19650
2025-04-02,A,South,48,4800
2025-04-04,A,East,133,13300
2025-04-13,C,West,123,9840
2025-04-14,A,West,34,3400
2025-04-19,B,East,71,10650
2025-04-19,C,East,147,11760
2025-04-21,A,East,34,3400
2025-04-23,C,North,83,6640
2025-04-23,C,South,154,12320
2025-04-29,B,East,86,12900
2025-04-29,C,North,200,16000
2025-05-03,C,East,155,12400
2025-05-06,A,North,30,3000
2025-05-07,B,South,83,12450
2025-05-07,C,West,170,13600
2025-05-08,C,West,193,15440
2025-05-12,B,West,191,28650
2025-05-17,A,South,23,2300
2025-05-18,C,North,186,14880
2025-05-19,A,North,71,7100
2025-05-22,C,West,105,8400
2025-05-22,C,South,155,12400
2025-05-27,A,South,92,9200
2025-05-28,B,South,50,7500
2025-05-28,A,East,151,15100
2025-05-28,C,South,56,4480
2025-05-30,A,West,127,12700
2025-05-31,A,South,49,4900
2025-06-02,B,West,198,29700
2025-06-02,B,East,156,23400
2025-06-08,B,East,70,10500
2025-06-08,C,South,129,10320
2025-06-09,A,West,26,2600
2025-06-12,B,North,48,7200
2025-06-13,B,West,200,30000
2025-06-18,A,West,95,9500
2025-06-30,C,South,181,14480
2025-06-30,B,South,91,13650
